,주소,토지이용상황,공시지가
737995,충청남도 당진시 순성면 나산리 316-12,전,31400
1339668,충청남도 태안군 태안읍 산후리 20-1,전,20500
1387283,충청남도 태안군 근흥면 도황리 973-2,답,18200
319647,충청남도 아산시 배방읍 구령리 151-4,답,296700
192513,충청남도 공주시 사곡면 가교리 46-6,답,24400
1005220,충청남도 서천군 기산면 광암리 85-8,답,13400
16230,충청남도 천안시 동남구 풍세면 미죽리 409-5,전,51100
1146353,충청남도 홍성군 금마면 송암리 155-15,전,15400
626540,충청남도 논산시 은진면 방축리 81-1,전,23600
63683,충청남도 천안시 서북구 성환읍 매주리 5-11,과수원,135800
134046,충청남도 공주시 탄천면 화정리 365-2,답,19600
579472,충청남도 논산시 상월면 대우리 71,전,20300
602457,충청남도 논산시 연산면 신양리 105-11,전,32500
1237502,충청남도 예산군 대술면 장복리 370,답,30800
910855,충청남도 부여군 홍산면 교원리 297-2,전,11100
205547,충청남도 보령시 대천동 1144,답,19400
869709,충청남도 부여군 부여읍 능산리 433-10,답,20900
1185349,충청남도 홍성군 서부면 이호리 98-5,답,40600
996645,충청남도 서천군 화양면 대등리 280,답,11300
67906,충청남도 천안시 서북구 성환읍 신방리 596-1,과수원,54400
149640,충청남도 공주시 계룡면 금대리 134,답,21600
1256226,충청남도 예산군 광시면 은사리 296,전,15700
318772,충청남도 아산시 배방읍 세교리 1296,답,70500
1121426,충청남도 홍성군 홍성읍 내법리 383,전,63100
234969,충청남도 보령시 오천면 삽시도리 156-3,답,23300
1382438,충청남도 태안군 근흥면 마금리 203-1,전,26600
1018355,충청남도 서천군 시초면 선암리 38-5,답,14000
185683,충청남도 공주시 우성면 용봉리 262-1,전,32700
526440,충청남도 논산시 부창동 276-146,답,30300
822091,충청남도 금산군 군북면 산안리 189,답,15800
119392,충청남도 공주시 유구읍 탑곡리 114-1,전,33400
916736,충청남도 부여군 옥산면 내대리 442-7,전,13700
1020881,충청남도 서천군 시초면 봉선리 798-9,답,14300
573421,충청남도 논산시 노성면 구암리 217-3,답,15600
498796,충청남도 서산시 운산면 여미리 62-6,답,15500
186960,충청남도 공주시 우성면 어천리 261-3,답,24800
1242119,충청남도 예산군 대술면 이티리 193-3,답,13100
1188438,충청남도 홍성군 서부면 상황리 172,답,14300
620022,충청남도 논산시 가야곡면 함적리 415-6,답,15300
288533,충청남도 보령시 성주면 개화리 393-1,답,17300
1256877,충청남도 예산군 광시면 구례리 523,답,14000
525476,충청남도 서산시 고북면 사기리 674,답,12300
431272,충청남도 서산시 인지면 산동리 805,답,12100
658008,충청남도 당진시 합덕읍 대합덕리 497-10,전,24000
719844,충청남도 당진시 정미면 도산리 3-2,답,13600
802392,충청남도 금산군 제원면 용화리 486-1,전,23200
921681,충청남도 부여군 남면 내곡리 528,전,12200
709822,충청남도 당진시 대호지면 사성리 51,답,15900
1017972,충청남도 서천군 시초면 선동리 442-2,답,14000
289717,충청남도 보령시 주교면 주교리 797-5,전,41400
1341319,충청남도 태안군 태안읍 삭선리 578,전,30100
76697,충청남도 천안시 서북구 성거읍 오색당리 89-5,과수원,129000
1098941,충청남도 청양군 남양면 용두리 270-1,답,13200
1358545,충청남도 태안군 안면읍 중장리 1236-46,답,24500
402416,충청남도 서산시 잠홍동 356-1,답,92600
1184953,충청남도 홍성군 결성면 형산리 457,전,16000
1299916,충청남도 예산군 고덕면 상궁리 725-2,답,15700
1306032,충청남도 예산군 신암면 계촌리 188-1,답,29800
1270362,충청남도 예산군 응봉면 지석리 396,답,26000
731620,충청남도 당진시 면천면 대치리 113,전,17600
1427799,충청남도 당진시 송악읍 가학리 506-12,전,154300
283286,충청남도 보령시 주산면 황율리 592-8,답,12600
420522,충청남도 서산시 대산읍 화곡리 600,전,48700
102585,충청남도 공주시 소학동 380,전,34200
313331,충청남도 아산시 배방읍 수철리 403-3,전,68300
518050,충청남도 서산시 고북면 신상리 892,답,30500
918197,충청남도 부여군 남면 송학리 541,답,14600
374344,충청남도 아산시 선장면 대정리 187-1,답,32300
37685,충청남도 천안시 동남구 성남면 대흥리 398-1,전,52800
734171,충청남도 당진시 면천면 죽동리 638,전,31700
433359,충청남도 서산시 인지면 화수리 333-2,전,19800
292038,충청남도 보령시 주교면 송학리 114-1,전,30700
543601,충청남도 논산시 연무읍 신화리 1372-4,답,17100
1064338,충청남도 청양군 대치면 개곡리 21,전,9890
1156311,충청남도 홍성군 홍동면 신기리 257,전,13900
1298852,충청남도 예산군 고덕면 상장리 813-2,답,14000
1396777,충청남도 태안군 소원면 모항리 115,답,12600
373366,충청남도 아산시 선장면 돈포리 75-136,답,11500
1111630,충청남도 청양군 비봉면 양사리 100-1,답,13700
370343,충청남도 아산시 인주면 도흥리 328,답,19100
481224,충청남도 서산시 음암면 도당리 837,답,49500
688877,충청남도 당진시 고대면 당진포리 32-246,답,21700
229058,충청남도 보령시 오천면 소성리 910-1,답,13500
419535,충청남도 서산시 대산읍 기은리 744-7,답,24600
753872,충청남도 당진시 신평면 금천리 2-27,전,52800
617295,충청남도 논산시 양촌면 중산리 431-13,전,13200
1379555,충청남도 태안군 남면 신온리 381-11,전,54700
817905,충청남도 금산군 군북면 두두리 152,전,19900
1097959,충청남도 청양군 남양면 온직리 234-2,답,11400
1394882,충청남도 태안군 소원면 소근리 578,답,13200
220463,충청남도 보령시 웅천읍 독산리 78-12,답,15900
1289280,충청남도 예산군 봉산면 대지리 50-5,전,29300
386295,충청남도 아산시 도고면 덕암리 112-3,전,12500
431579,충청남도 서산시 인지면 애정리 158-4,전,39500
574457,충청남도 논산시 상월면 산성리 37-1,답,20000
462777,충청남도 서산시 지곡면 화천리 821-2,전,77900
1162087,충청남도 홍성군 장곡면 화계리 379,답,13200
1046171,충청남도 서천군 서면 원두리 276-3,답,12700
930513,충청남도 부여군 양화면 족교리 516-2,답,12700
24252,충청남도 천안시 동남구 광덕면 매당리 94-6,답,33100
645817,충청남도 당진시 시곡동 287,답,49900
76545,충청남도 천안시 서북구 성거읍 오목리 120-4,답,56700
648965,충청남도 당진시 행정동 375-2,전,75100
1294925,충청남도 예산군 고덕면 상몽리 145-3,답,12300
149054,충청남도 공주시 계룡면 화헌리 58,전,30300
1046709,충청남도 서천군 서면 신합리 84-1,답,15600
309823,충청남도 아산시 염치읍 방현리 108,답,29100
1331072,충청남도 태안군 태안읍 송암리 1529-11,답,30900
109647,충청남도 공주시 유구읍 백교리 35,전,48800
1104806,충청남도 청양군 화성면 수정리 388-1,전,13700
1052417,충청남도 청양군 청양읍 정좌리 742,전,6560
954948,충청남도 부여군 세도면 수고리 1186-16,답,12600
82848,충청남도 천안시 서북구 직산읍 군서리 380-4,과수원,82500
285292,충청남도 보령시 미산면 옥현리 531-7,답,12000
402748,충청남도 서산시 잠홍동 553,답,152400
880301,충청남도 부여군 규암면 합송리 636,전,43600
701714,충청남도 당진시 석문면 장고항리 353-4,답,26500
178994,충청남도 공주시 우성면 상서리 955-7,답,31200
1164090,충청남도 홍성군 장곡면 죽전리 797,답,13000
597485,충청남도 논산시 연산면 덕암리 48,전,25200
745239,충청남도 당진시 우강면 창리 311-14,전,53300
289734,충청남도 보령시 주교면 주교리 809,전,25100
362100,충청남도 아산시 영인면 역리 716,답,24200
112576,충청남도 공주시 유구읍 녹천리 519-1,답,3720
514210,충청남도 서산시 고북면 가구리 467-33,전,20800
648804,충청남도 당진시 행정동 242-6,전,57000
33750,충청남도 천안시 동남구 북면 납안리 228,과수원,43200
1207935,충청남도 홍성군 구항면 내현리 599,전,18000
1179456,충청남도 홍성군 결성면 성호리 1178-1,답,13200
125118,충청남도 공주시 이인면 초봉리 97-4,전,21700
1134869,충청남도 홍성군 홍북읍 내덕리 646-6,답,43600
1043056,충청남도 서천군 비인면 다사리 265,답,13200
94198,충청남도 천안시 서북구 입장면 용정리 222-35,과수원,37700
1172645,충청남도 홍성군 은하면 대율리 199-3,전,19400
389777,충청남도 아산시 신창면 오목리 647,전,40900
1339638,충청남도 태안군 태안읍 산후리 10-3,답,12300
345645,충청남도 아산시 둔포면 신남리 1105,답,23900
145160,충청남도 공주시 계룡면 중장리 306-4,답,49200
868980,충청남도 부여군 부여읍 중정리 211-10,답,21800
1118838,충청남도 홍성군 홍성읍 신성리 324-1,답,24200
758914,충청남도 당진시 신평면 상오리 828-2,전,65600
843273,충청남도 금산군 진산면 석막리 326,과수원,5670
1140019,충청남도 홍성군 홍북읍 노은리 238-1,답,25400
297058,충청남도 아산시 방축동 467-17,답,133300
139005,충청남도 공주시 탄천면 대학리 175-1,답,14800
506165,충청남도 서산시 해미면 관유리 156-1,답,15800
216625,충청남도 보령시 웅천읍 수부리 536-3,답,19400
431772,충청남도 서산시 인지면 애정리 248-4,답,42800
825202,충청남도 금산군 남일면 상동리 456-3,답,18300
1304564,충청남도 예산군 고덕면 석곡리 54-2,전,18200
564202,충청남도 논산시 광석면 사월리 5-6,전,34700
311266,충청남도 아산시 염치읍 백암리 114-2,전,76800
639721,충청남도 계룡시 엄사면 엄사리 17-5,전,126900
703190,충청남도 당진시 석문면 교로리 329-2,전,59400
1403474,충청남도 태안군 원북면 이곡리 1391,답,10700
199253,충청남도 공주시 신풍면 봉갑리 455,답,11300
520881,충청남도 서산시 고북면 남정리 810,답,14600
500262,충청남도 서산시 운산면 소중리 57-10,답,14300
527989,충청남도 논산시 등화동 537-4,답,41000
120537,충청남도 공주시 유구읍 동해리 603,전,26600
1350794,충청남도 태안군 안면읍 정당리 1400-10,전,20600
971808,충청남도 서천군 장항읍 송림리 871-2,답,22100
321016,충청남도 아산시 송악면 역촌리 343,전,43300
534282,충청남도 논산시 연무읍 죽본리 58-4,전,18300
1387056,충청남도 태안군 근흥면 도황리 624,전,39600
429129,충청남도 서산시 인지면 야당리 569-37,답,14300
416254,충청남도 서산시 대산읍 대로리 352-4,전,27600
309478,충청남도 아산시 염치읍 석정리 728,답,34600
958386,충청남도 부여군 석성면 봉정리 641,전,9710
1200285,충청남도 홍성군 갈산면 기산리 842-1,답,13400
305987,충청남도 아산시 염치읍 산양리 376,전,52700
382805,충청남도 아산시 도고면 금산리 110-1,전,56200
806514,충청남도 금산군 부리면 관천리 550-5,전,5380
162148,충청남도 공주시 의당면 청룡리 667-2,답,82000
1263067,충청남도 예산군 광시면 시목리 265-4,답,12800
1174612,충청남도 홍성군 은하면 목현리 55,전,22700
129345,충청남도 공주시 이인면 운암리 62-5,답,14800
759160,충청남도 당진시 신평면 상오리 1213,답,19200
1041416,충청남도 서천군 비인면 성산리 20-3,전,8250
1288325,충청남도 예산군 봉산면 효교리 146-2,전,22500
132075,충청남도 공주시 탄천면 장선리 309-2,답,24600
641909,충청남도 계룡시 엄사면 향한리 342-3,전,131000
808043,충청남도 금산군 부리면 평촌리 20-2,답,24500
619695,충청남도 논산시 가야곡면 함적리 125-4,전,15700
1382083,충청남도 태안군 근흥면 수룡리 599-1,전,22300
11866,충청남도 천안시 동남구 목천읍 신계리 374-2,전,68400
547305,충청남도 논산시 성동면 개척리 99-5,답,16700
467894,충청남도 서산시 지곡면 도성리 1032-5,답,14400
137034,충청남도 공주시 탄천면 송학리 479,전,17300
1225405,충청남도 예산군 삽교읍 상하리 123-1,답,28300
209993,충청남도 보령시 내항동 224-4,답,48100
621869,충청남도 논산시 가야곡면 등리 304,답,15300
1381450,충청남도 태안군 근흥면 두야리 1402-6,답,10900
222545,충청남도 보령시 웅천읍 황교리 287-7,답,15600
1218883,충청남도 예산군 삽교읍 두리 144-61,전,31300
591599,충청남도 논산시 연산면 연산리 1,전,39500
350144,충청남도 아산시 둔포면 운용리 414-3,답,60600
425978,충청남도 서산시 대산읍 영탑리 679-5,전,45100
865538,충청남도 부여군 부여읍 석목리 4,답,14900
1331056,충청남도 태안군 태안읍 송암리 1528-8,답,54000
215201,충청남도 보령시 웅천읍 대창리 815-2,답,22100
553259,충청남도 논산시 성동면 원봉리 391-12,답,15700
736611,충청남도 당진시 순성면 백석리 383,전,41300
380252,충청남도 아산시 선장면 궁평리 141,답,23700
1205238,충청남도 홍성군 구항면 공리 115-1,답,34700
466151,충청남도 서산시 지곡면 중왕리 179,답,25100
668721,충청남도 당진시 송악읍 광명리 429-2,답,19200
74180,충청남도 천안시 서북구 성환읍 도하리 58-1,답,46200
100535,충청남도 공주시 태봉동 433,답,39700
816000,충청남도 금산군 군북면 내부리 715-21,답,49700
179103,충청남도 공주시 우성면 상서리 962-15,답,30300
1256928,충청남도 예산군 광시면 구례리 532-8,답,14000
1015575,충청남도 서천군 마산면 벽오리 51-1,답,12800
168914,충청남도 공주시 정안면 쌍달리 219-2,답,14700
1392529,충청남도 태안군 소원면 신덕리 754-9,전,19100
1427409,충청남도 당진시 송악읍 가교리 453-2,답,37100
913575,충청남도 부여군 옥산면 홍연리 141-3,답,13400
265774,충청남도 보령시 남포면 창동리 638-62,답,50100
441453,충청남도 서산시 부석면 월계리 653-8,답,12600
709859,충청남도 당진시 대호지면 사성리 101,답,15800
1179123,충청남도 홍성군 결성면 성호리 779-1,전,15900
697579,충청남도 당진시 석문면 삼화리 833-2,답,53500
989643,충청남도 서천군 마서면 장선리 42,답,13200
38973,충청남도 천안시 동남구 성남면 용원리 134-2,답,54400
1337352,충청남도 태안군 태안읍 도내리 239-7,답,17800
1103486,충청남도 청양군 화성면 화암리 76,전,11200
751382,충청남도 당진시 우강면 소반리 176-5,전,29900
526553,충청남도 논산시 부창동 406-2,답,32500
1391352,충청남도 태안군 소원면 법산리 714-7,전,22900
965453,충청남도 부여군 초촌면 응평리 318,답,11700
1390373,충청남도 태안군 소원면 시목리 899-5,전,14300
898476,충청남도 부여군 내산면 저동리 200-2,답,13400
1304827,충청남도 예산군 고덕면 석곡리 197-5,답,26000
564019,충청남도 논산시 광석면 항월리 467,전,19200
549924,충청남도 논산시 성동면 원남리 787-2,답,15900
1044668,충청남도 서천군 서면 월리 309-2,전,15400
1217955,충청남도 예산군 예산읍 수철리 17-2,전,12400
282359,충청남도 보령시 주산면 삼곡리 475-2,답,14600
159347,충청남도 공주시 의당면 두만리 107-1,전,24000
284678,충청남도 보령시 미산면 봉성리 221,답,15600
775656,충청남도 당진시 송산면 유곡리 158-2,전,98800
691005,충청남도 당진시 고대면 당진포리 2057,답,21900
1163446,충청남도 홍성군 장곡면 오성리 451,답,12000
800417,충청남도 금산군 제원면 대산리 641-85,답,19900
905045,충청남도 부여군 구룡면 현암리 283-5,답,15400
1262167,충청남도 예산군 광시면 용두리 397-1,답,15700
1417417,충청남도 태안군 이원면 당산리 1509-1,답,10400
190971,충청남도 공주시 사곡면 계실리 502-1,전,19700
1279824,충청남도 예산군 덕산면 둔리 70-6,전,48000
616078,충청남도 논산시 양촌면 명암리 81-3,답,29300
897333,충청남도 부여군 내산면 운치리 245-3,답,15300
1182839,충청남도 홍성군 결성면 무량리 613,답,18600
676211,충청남도 당진시 송악읍 부곡리 190,답,111400
852669,충청남도 금산군 복수면 백암리 640,답,30600
665776,충청남도 당진시 송악읍 가교리 410-1,답,44500
4553,충청남도 천안시 동남구 안서동 58,전,172800
764731,충청남도 당진시 신평면 부수리 190,답,71400
1047705,충청남도 서천군 서면 월호리 354-4,답,13300
1378184,충청남도 태안군 남면 당암리 242,답,24800
1083630,충청남도 청양군 청남면 왕진리 569-1,답,25900
593000,충청남도 논산시 연산면 송정리 94,답,70200
211709,충청남도 보령시 남곡동 910-6,답,14300
920146,충청남도 부여군 남면 송암리 1058,답,14400
349272,충청남도 아산시 둔포면 운교리 154,전,87400
448106,충청남도 서산시 부석면 지산리 1474,답,12800
1174251,충청남도 홍성군 은하면 학산리 708-3,전,14600
1077587,충청남도 청양군 목면 화양리 1043-5,답,17100
363568,충청남도 아산시 인주면 신성리 44-17,전,28800
1010602,충청남도 서천군 한산면 온동리 17-1,답,13000
441501,충청남도 서산시 부석면 월계리 692,전,22200
384748,충청남도 아산시 도고면 화천리 115-1,전,9260
1239980,충청남도 예산군 대술면 시산리 228-2,전,23400
314831,충청남도 아산시 배방읍 공수리 494,답,88800
932277,충청남도 부여군 양화면 초왕리 518-6,답,13000
1388326,충청남도 태안군 근흥면 정죽리 1110,전,30900
942049,충청남도 부여군 임천면 탑산리 506-1,답,15600
1096258,충청남도 청양군 남양면 흥산리 154-5,전,20700
903003,충청남도 부여군 구룡면 죽절리 128-1,답,17200
785251,충청남도 금산군 금성면 도곡리 358,과수원,17900
763352,충청남도 당진시 신평면 신당리 349-1,답,36800
318069,충청남도 아산시 배방읍 세교리 549-9,전,140800
840917,충청남도 금산군 진산면 엄정리 311-1,답,21700
782573,충청남도 금산군 금산읍 음지리 148-2,답,19900
244768,충청남도 보령시 천북면 낙동리 1446-3,답,14800
928636,충청남도 부여군 양화면 송정리 417-2,전,10300
897991,충청남도 부여군 내산면 천보리 404-3,답,13600
988871,충청남도 서천군 마서면 덕암리 579-1,전,32800
1033368,충청남도 서천군 종천면 종천리 155-4,답,16100
1289008,충청남도 예산군 봉산면 효교리 546,전,12200
655798,충청남도 당진시 합덕읍 석우리 677-5,답,29700
69349,충청남도 천안시 서북구 성환읍 어룡리 332,답,71500
770745,충청남도 당진시 송산면 매곡리 24-6,답,24900
505508,충청남도 서산시 해미면 삼송리 341,전,18600
749063,충청남도 당진시 우강면 부장리 250-1,답,32400
157042,충청남도 공주시 반포면 온천리 94-9,답,82300
283869,충청남도 보령시 미산면 용수리 215-11,전,18300
501470,충청남도 서산시 운산면 원벌리 168,답,17600
7053,충청남도 천안시 동남구 목천읍 교촌리 10-9,답,38300
253205,충청남도 보령시 청소면 야현리 104-1,답,14400
511383,충청남도 서산시 해미면 양림리 313-4,전,19100
616844,충청남도 논산시 양촌면 석서리 449-1,답,18900
772680,충청남도 당진시 송산면 명산리 316-1,답,20200
1161353,충청남도 홍성군 장곡면 신풍리 191-12,전,12200
571674,충청남도 논산시 노성면 효죽리 347-2,답,17900
1117397,충청남도 홍성군 홍성읍 옥암리 856,전,43600
1185419,충청남도 홍성군 서부면 이호리 147-3,전,25400
547774,충청남도 논산시 성동면 개척리 281,전,16700
153844,충청남도 공주시 반포면 송곡리 412,전,41900
305699,충청남도 아산시 염치읍 산양리 37-13,답,19600
163272,충청남도 공주시 의당면 중흥리 197,답,21600
824682,충청남도 금산군 남일면 마장리 1168,답,23500
989441,충청남도 서천군 마서면 송내리 503-1,전,22400
317771,충청남도 아산시 배방읍 세교리 241,답,171900
728899,충청남도 당진시 면천면 문봉리 85-4,전,45100
179770,충청남도 공주시 우성면 신웅리 154-1,답,26600
397355,충청남도 아산시 신창면 가덕리 540-9,답,27200
638234,충청남도 계룡시 두마면 두계리 100-25,답,40800
765419,충청남도 당진시 신평면 매산리 54-7,답,27000
26711,충청남도 천안시 동남구 광덕면 대평리 8,답,28000
1337691,충청남도 태안군 태안읍 도내리 568-6,전,23300
425154,충청남도 서산시 대산읍 영탑리 44,답,22100
1013667,충청남도 서천군 마산면 가양리 131,전,16100
1126228,충청남도 홍성군 광천읍 벽계리 34-3,전,19400
66212,충청남도 천안시 서북구 성환읍 왕림리 78-4,전,82500
171054,충청남도 공주시 정안면 보물리 221-9,답,18800
183196,충청남도 공주시 우성면 방흥리 304-2,답,26200
432092,충청남도 서산시 인지면 애정리 481-2,답,36300
388754,충청남도 아산시 도고면 기곡리 62-9,답,22800
498406,충청남도 서산시 운산면 갈산리 558,답,12200
8137,충청남도 천안시 동남구 목천읍 덕전리 314-5,답,47900
936276,충청남도 부여군 임천면 구교리 723,답,12500
790086,충청남도 금산군 금성면 하류리 710-11,답,21400
828463,충청남도 금산군 남일면 신정리 727-1,답,15600
386227,충청남도 아산시 도고면 덕암리 35,전,19200
1041440,충청남도 서천군 비인면 성산리 119-2,전,16800
1146694,충청남도 홍성군 금마면 송암리 489-1,답,18400
1116596,충청남도 홍성군 홍성읍 옥암리 74-1,전,210800
318271,충청남도 아산시 배방읍 세교리 892-1,전,126500
567216,충청남도 논산시 노성면 두사리 176-1,전,19800
1284417,충청남도 예산군 덕산면 낙상리 469,답,15700
386165,충청남도 아산시 도고면 오암리 380-2,전,20900
625823,충청남도 논산시 가야곡면 양촌리 456,전,15500
38677,충청남도 천안시 동남구 성남면 석곡리 305-2,전,60200
853091,충청남도 금산군 복수면 구례리 295,답,35700
955975,충청남도 부여군 세도면 반조원리 407,답,10200
638450,충청남도 계룡시 두마면 왕대리 192-4,답,124700
676748,충청남도 당진시 송악읍 부곡리 464-4,답,29800
532288,충청남도 논산시 연무읍 마산리 505-121,전,45200
196178,충청남도 공주시 사곡면 부곡리 143,전,13000
716321,충청남도 당진시 대호지면 마중리 144-7,전,17700
1404212,충청남도 태안군 원북면 황촌리 542-31,답,15200
140966,충청남도 공주시 계룡면 월암리 228-1,답,13900
823882,충청남도 금산군 남일면 마장리 141,답,14300
1250347,충청남도 예산군 신양면 죽천리 583-1,답,17100
1180966,충청남도 홍성군 결성면 금곡리 168,답,13400
946367,충청남도 부여군 장암면 석동리 81-3,전,8420
652187,충청남도 당진시 합덕읍 운산리 23-4,전,97900
891974,충청남도 부여군 은산면 장벌리 594-1,전,4360
1005201,충청남도 서천군 기산면 광암리 80-1,전,17600
306155,충청남도 아산시 염치읍 산양리 634-1,답,19200
690962,충청남도 당진시 고대면 당진포리 2015,답,15800
1238482,충청남도 예산군 대술면 화산리 211-6,답,13100
1018749,충청남도 서천군 시초면 선암리 380-3,답,14000
1120651,충청남도 홍성군 홍성읍 내법리 62-30,답,33000
578688,충청남도 논산시 상월면 대명리 205-64,전,24100
338329,충청남도 아산시 음봉면 쌍룡리 282,전,49800
1194120,충청남도 홍성군 서부면 중리 899-3,답,16800
536259,충청남도 논산시 연무읍 양지리 560-2,답,16000
47103,충청남도 천안시 동남구 병천면 병천리 751-50,답,76500
440098,충청남도 서산시 부석면 송시리 619,전,26300
1402135,충청남도 태안군 원북면 이곡리 9-5,전,16200
1034824,충청남도 서천군 종천면 장구리 2-3,전,12800
1418193,충청남도 태안군 이원면 포지리 484,답,14800
928742,충청남도 부여군 양화면 송정리 467-9,답,13200
612364,충청남도 논산시 양촌면 남산리 279,답,32100
126353,충청남도 공주시 이인면 용성리 643-3,답,22000
349993,충청남도 아산시 둔포면 운용리 262-4,답,100800
1406574,충청남도 태안군 원북면 신두리 916-2,전,24000
1405121,충청남도 태안군 원북면 방갈리 312-1,전,13000
1340960,충청남도 태안군 태안읍 삭선리 303-13,전,25900
474049,충청남도 서산시 성연면 고남리 161-5,전,22000
49310,충청남도 천안시 동남구 병천면 관성리 195,전,33000
471197,충청남도 서산시 지곡면 환성리 1007,답,11700
408690,충청남도 서산시 양대동 114-2,답,34400
815793,충청남도 금산군 군북면 내부리 463-3,전,27200
1001798,충청남도 서천군 기산면 내동리 220-4,답,15300
171506,충청남도 공주시 정안면 어물리 235,답,21600
985879,충청남도 서천군 마서면 죽산리 152-10,답,15200
426321,충청남도 서산시 대산읍 영탑리 818-13,답,71400
31793,충청남도 천안시 동남구 북면 오곡리 298-17,전,41600
652047,충청남도 당진시 구룡동 895-1,답,22700
25620,충청남도 천안시 동남구 광덕면 무학리 46-2,전,26500
784396,충청남도 금산군 금성면 양전리 727-5,답,42000
406267,충청남도 서산시 석남동 541-1,답,31500
659925,충청남도 당진시 합덕읍 신리 53-6,답,19000
1318815,충청남도 예산군 오가면 월곡리 92-2,답,22300
247360,충청남도 보령시 청소면 진죽리 240-21,전,21200
145102,충청남도 공주시 계룡면 중장리 262,전,42300
936922,충청남도 부여군 임천면 칠산리 157-1,답,13500
387036,충청남도 아산시 도고면 석당리 258-18,전,21800
1156889,충청남도 홍성군 홍동면 신기리 1065-2,답,13300
962105,충청남도 부여군 석성면 현내리 375-2,전,14200
140229,충청남도 공주시 계룡면 기산리 583,답,40900
1229334,충청남도 예산군 삽교읍 용동리 41-2,답,16600
995128,충청남도 서천군 화양면 죽산리 13-1,답,14300
126044,충청남도 공주시 이인면 용성리 321-2,답,19100
1106747,충청남도 청양군 화성면 광평리 150-7,답,18600
228268,충청남도 보령시 주포면 연지리 1011,답,12000
1058302,충청남도 청양군 운곡면 모곡리 234,답,16900
1147388,충청남도 홍성군 금마면 장성리 346-4,답,21600
1129441,충청남도 홍성군 광천읍 대평리 147,전,19100
1340817,충청남도 태안군 태안읍 삭선리 219,답,21300
1137983,충청남도 홍성군 홍북읍 갈산리 146-2,답,27700
900375,충청남도 부여군 내산면 주암리 445,전,9940
575354,충청남도 논산시 상월면 지경리 35-4,답,41600
350958,충청남도 아산시 둔포면 염작리 107-5,답,28300
351127,충청남도 아산시 둔포면 염작리 169,전,83500
570515,충청남도 논산시 노성면 가곡리 235-5,답,15400
232255,충청남도 보령시 오천면 오포리 661-12,전,13300
480659,충청남도 서산시 음암면 도당리 384,전,24000
461672,충청남도 서산시 팔봉면 진장리 882-8,답,17800
1084178,충청남도 청양군 청남면 인양리 669-9,답,13300
703974,충청남도 당진시 석문면 교로리 944,답,92900
263754,충청남도 보령시 청라면 신산리 369,전,12000
725368,충청남도 당진시 정미면 덕마리 352-2,전,113700
878470,충청남도 부여군 규암면 외리 345-20,전,30600
372296,충청남도 아산시 선장면 군덕리 37-1,답,40400
1260006,충청남도 예산군 광시면 서초정리 1029,답,15300
68693,충청남도 천안시 서북구 성환읍 우신리 73-22,전,83400
436913,충청남도 서산시 부석면 가사리 390-2,답,13300
1349312,충청남도 태안군 안면읍 정당리 560-9,전,43900
158496,충청남도 공주시 의당면 월곡리 43-3,전,44100
694153,충청남도 당진시 고대면 진관리 785,답,20400
1280051,충청남도 예산군 덕산면 둔리 169,답,29100
146512,충청남도 공주시 계룡면 하대리 380,전,44400
1152258,충청남도 홍성군 홍동면 원천리 420-7,전,17800
1429955,충청남도 청양군 목면 송암리 175-7,전,11400
58855,충청남도 천안시 동남구 동면 화덕리 331-1,답,22000
892596,충청남도 부여군 외산면 지선리 172-1,답,12700
781238,충청남도 금산군 금산읍 계진리 376-1,답,22200
523756,충청남도 서산시 고북면 정자리 521-2,전,32900
666357,충청남도 당진시 송악읍 본당리 37,답,52800
1215123,충청남도 예산군 예산읍 창소리 366,전,59500
40759,충청남도 천안시 동남구 성남면 화성리 218,전,57600
242079,충청남도 보령시 천북면 궁포리 139-2,전,15700
1092357,충청남도 청양군 남양면 구룡리 103-1,답,14600
715488,충청남도 당진시 대호지면 장정리 13-4,답,14300
658261,충청남도 당진시 합덕읍 대전리 2-1,전,27800
198250,충청남도 공주시 신풍면 조평리 295,전,13300
548151,충청남도 논산시 성동면 우곤리 115-6,답,20600
599385,충청남도 논산시 연산면 백석리 633-7,답,19000
1243940,충청남도 예산군 신양면 황계리 173-1,답,19300
815931,충청남도 금산군 군북면 내부리 679-1,전,62300
553570,충청남도 논산시 성동면 원봉리 603-4,답,14900
1288673,충청남도 예산군 봉산면 효교리 361,답,14700
679006,충청남도 당진시 송악읍 월곡리 277,전,71500
956476,충청남도 부여군 세도면 화수리 614,답,12600
21643,충청남도 천안시 동남구 광덕면 광덕리 726-3,전,53800
885572,충청남도 부여군 은산면 대양리 97,답,10700
310702,충청남도 아산시 염치읍 송곡리 48,전,100000
1372738,충청남도 태안군 남면 달산리 52-5,전,19400
343498,충청남도 아산시 둔포면 시포리 642,답,34600
1227175,충청남도 예산군 삽교읍 창정리 72-1,답,16300
1043684,충청남도 서천군 서면 개야리 23-3,답,13400
975769,충청남도 서천군 서천읍 화성리 224-10,전,16400
1048824,충청남도 서천군 서면 도둔리 1037-9,답,15500
254581,충청남도 보령시 청소면 장곡리 843-2,답,14600
762586,충청남도 당진시 신평면 운정리 348,답,111200
574240,충청남도 논산시 상월면 신충리 400,전,33500
367995,충청남도 아산시 인주면 금성리 45-16,전,39400
153901,충청남도 공주시 반포면 송곡리 432-4,답,41800
1108907,충청남도 청양군 비봉면 신원리 669-5,전,16500
